"shapeid","OBJECTID","ILCEKN","ILCE_ADI","KIMLIKNO","AD","YAKA","KARAR_NO","KARAR_TARI","GLOBALID","CREATED_US","CREATED_DA","LAST_EDITE","LAST_EDI_1","TANITIMKOD","SHAPE_Leng","SHAPE_Area","area","perimeter"
"92.0","93","1823","18","40606","FATÝH","2","NULL","1899-12-30","{667781ED-071A-49D9-9113-4B77ECB3F34A}","NULL","NULL","NULL","NULL","8","16684.7710219","1482831.11536","0.0001586306890430933","0.1721347806832242"
"92.1","93","1823","18","40606","FATÝH","2","NULL","1899-12-30","{667781ED-071A-49D9-9113-4B77ECB3F34A}","NULL","NULL","NULL","NULL","8","16684.7710219","1482831.11536","0.0001586306890430933","0.1721347806832242"
"92.2","93","1823","18","40606","FATÝH","2","NULL","1899-12-30","{667781ED-071A-49D9-9113-4B77ECB3F34A}","NULL","NULL","NULL","NULL","8","16684.7710219","1482831.11536","0.0001586306890430933","0.1721347806832242"
"93.0","94","2003","2","40146","AMBARLI","2","NULL","1899-12-30","{7E0746FF-028E-46C9-9AE7-90C16A82793C}","NULL","NULL","TERDEM","2017-02-16","2","9032.04673959","1824630.69613","0.00019515497558586503","0.09720158771018889"
"94.0","95","1325","11","40371","NÝÞANCI","2","NULL","1899-12-30","{E187ADE0-784C-4D30-8B89-E4985D7938BB}","NULL","NULL","TERDEM","2017-02-16","14","3634.03994639","658584.750797","7.051604052321636e-05","0.03814871997884596"
"95.0","96","1835","20","40649","ÇAMÇEÞME","1","NULL","1899-12-30","{B3E1D6BE-C6E9-4361-8EA3-994C2422F333}","NULL","NULL","NULL","NULL","4","4881.0564894","1167034.58449","0.0001246536161261247","0.048903251511382556"
"96.0","97","1835","20","40642","VELÝBABA","1","NULL","1899-12-30","{67E03792-D88C-4FF4-8D21-242297A8C908}","NULL","NULL","TERDEM","2017-03-02","27","10815.855681","3378223.13451","0.00036102059880249726","0.11123814312412864"
"97.0","98","1810","16","40538","GÜLTEPE","2","NULL","1899-12-30","{2164CE1C-C7F0-4B4A-938B-BEBC58915ADE}","NULL","NULL","NULL","NULL","4","2072.37116864","189343.62442","2.0285089135541057e-05","0.02190957501061407"
"98.0","99","2055","40","40468","ZÜBEYDE HANIM","2","NULL","1899-12-30","{DB708F19-0492-460F-8488-E3B0FA8147CD}","NULL","NULL","NULL","NULL","40","10389.9050715","3475783.46478","0.00037253042569318495","0.10805051179239286"
"99.0","100","2049","34","99516","MEVLANA","1","NULL","1899-12-30","{BA671801-CA38-48A9-A06F-EC5D91C6D3EC}","NULL","NULL","TERDEM","2017-02-02","1","3631.25801573","796985.508519","8.527083389253676e-05","0.037624115796635174"
"100.0","101","1663","22","40705","MECÝDÝYEKÖY","2","NULL","1899-12-30","{D260B312-3BFD-46D6-B009-4296FABEE069}","NULL","NULL","NULL","NULL","21","3393.98405116","455403.393414","4.8782524231683055e-05","0.03473716924384392"
"101.0","102","1810","16","40549","ÞÝRÝNTEPE","2","NULL","1899-12-30","{7D8BD6CA-E871-4E05-9321-33DD49CD3880}","NULL","NULL","NULL","NULL","15","2801.42000144","376744.165392","4.036788436678762e-05","0.029508061718430144"
"102.0","103","1183","7","40236","KONAKLAR","2","NULL","1899-12-30","{D4643150-5A5C-40A5-A575-7A85F1C758BB}","NULL","NULL","TERDEM","2017-03-16","23","7372.16370644","2435733.53111","0.00026101051969362743","0.07694236701315185"
"103.0","104","1604","21","40661","ÇAYIRBAÞI","2","NULL","1899-12-30","{860CF58A-6966-4794-8F18-092BD59097C1}","NULL","NULL","TERDEM","2017-03-06","0","3117.24748582","479094.86007","5.1389237114563e-05","0.03276320380970778"
"104.0","105","2055","40","40474","CEBECÝ","2","NULL","1899-12-30","{19E6F3D9-42AB-4CA1-9D22-2C56FC66A3F4}","NULL","NULL","NULL","NULL","30","16416.2811978","10846123.4162","0.0011626600055478775","0.1749348573976399"
"105.0","106","1852","24","98705","TATLISU","1","NULL","1899-12-30","{F5F1C739-3687-428A-BADB-58FA3A9E668E}","NULL","NULL","TERDEM","2017-02-02","36","4790.59497607","1019961.22444","0.00010915082361862005","0.050337273436562295"
